Time (s);key;;;;;
2,03E-01;1;;;;;
3,03E-01;2;;;;;
4,03E-01;3;;;;;
5,03E-01;4;;;;;
6,03E-01;5;;;;;
7,03E-01;6;;;;;
8,03E-01;7;;;;;
9,03E-01;8;;;;;
1,00E+00;9;;;;;
1,10E+00;10;;;;;
1,20E+00;11;;;;;
1,30E+00;12;;;;;
1,40E+00;13;;;;;
1,50E+00;14;;;;;
1,60E+00;15;;;;;
1,70E+00;16;;;;;
1,80E+00;17;;;;;
1,90E+00;18;;;;;
2,00E+00;19;;;;;
2,10E+00;20;;;;;
2,20E+00;21;;;;;
2,30E+00;22;;;;;
2,40E-02;23;;;;;
2,50E+00;24;;;;;
2,60E+00;25;;;;;
2,70E+00;26;;;;;
2,80E+00;27;;;;;
2,90E+00;28;;;;;
3,00E+00;29;;;;;
3,10E+00;30;;;;;
3,20E+00;31;;;;;
3,30E+00;32;;;;;
3,40E+00;33;;;;;
3,50E+00;34;;;;;
3,60E+00;35;;;;;
3,70E+00;36;;;;;
3,80E+00;37;;;;;
3,90E+00;38;;;;;
4,00E+00;39;;;;;
4,10E+00;40;;;;;
4,20E+00;41;;;;;
4,30E+02;42;;;;;
4,40E+00;43;;;;;
4,50E+00;44;;;;;
4,60E+00;45;;;;;
5,00E-09;46;;;;;
4,80E+00;47;;;;;
4,90E+00;48;;;;;
5,00E+00;49;;;;;
5,10E+00;50;;;;;
5,20E+00;51;;;;;
5,30E+00;52;;;;;
5,40E+01;53;;;;;
5,50E+00;54;;;;;
5,60E+00;55;;;;;
5,70E+00;56;;;;;
5,80E+00;57;;;;;
5,90E+00;58;;;;;
6,00E+00;59;;;;;
6,10E+00;60;;;;;
6,20E+00;61;;;;;
6,30E+00;62;;;;;
6,40E+00;63;;;;;
6,50E+00;64;;;;;
6,60E+00;65;;;;;
6,70E+00;66;;;;;
6,80E+00;67;;;;;
6,90E+00;68;;;;;
7,00E+00;69;;;;;
7,10E+00;70;;;;;
7,20E+00;71;;;;;
7,30E+00;72;;;;;
7,40E+00;73;;;;;
7,50E+00;74;;;;;
7,60E+00;75;;;;;
7,70E+00;76;;;;;
7,80E+00;77;;;;;
7,90E+00;78;;;;;
8,00E+00;79;;;;;
8,10E+00;80;;;;;
8,20E+00;81;;;;;
8,30E+00;82;;;;;
8,40E+00;83;;;;;
8,50E+00;84;;;;;
8,60E+04;85;;;;;
8,70E+00;86;;;;;
8,80E+00;87;;;;;
8,90E+00;88;;;;;
9,00E+00;89;;;;;
9,10E+00;90;;;;;
9,20E+00;91;;;;;
9,30E+00;92;;;;;
9,40E+00;93;;;;;
9,50E+00;94;;;;;
9,60E+00;95;;;;;
9,70E+00;96;;;;;
9,80E+00;97;;;;;
9,90E+00;98;;;;;
1,00E+01;99;;;;;
1,01E+01;100;;;;;
1,02E+01;101;;;;;
1,03E+01;102;;;;;
1,04E+01;103;;;;;
1,05E+01;104;;;;;
1,06E+01;105;;;;;
1,07E+01;106;;;;;
1,08E+01;107;;;;;
1,09E+01;108;;;;;
1,10E+01;109;;;;;
1,11E+01;110;;;;;
1,12E+01;111;;;;;
1,13E+01;112;;;;;
1,14E+01;113;;;;;
1,15E+01;114;;;;;
1,16E+01;115;;;;;
1,17E+01;116;;;;;
1,18E+01;117;;;;;
1,19E+01;118;;;;;
1,20E+01;119;;;;;
1,21E+01;120;;;;;
1,22E+01;121;;;;;
1,23E+01;122;;;;;
1,24E+01;123;;;;;
1,25E+01;124;;;;;
1,26E+01;125;;;;;
1,27E+01;126;;;;;
1,28E+01;127;;;;;
1,29E+01;128;;;;;
1,30E+01;129;;;;;
1,31E+01;130;;;;;
1,32E+01;131;;;;;
1,33E+01;132;;;;;
1,34E+01;133;;;;;
1,35E+01;134;;;;;
1,36E+01;135;;;;;
1,37E+01;136;;;;;
1,38E+01;137;;;;;
1,39E+01;138;;;;;
1,40E+01;139;;;;;
1,41E+01;140;;;;;
1,42E+01;141;;;;;
1,43E+01;142;;;;;
1,44E+01;143;;;;;
1,45E+01;144;;;;;
1,46E+01;145;;;;;
1,47E+01;146;;;;;
1,48E+01;147;;;;;
1,49E+01;148;;;;;
1,50E+01;149;;;;;
1,51E+01;150;;;;;
1,52E+01;151;;;;;
1,53E+01;152;;;;;
1,54E+01;153;;;;;
1,55E+01;154;;;;;
1,56E+01;155;;;;;
1,57E+01;156;;;;;
1,58E+01;157;;;;;
1,59E+01;158;;;;;
1,60E+01;159;;;;;
1,61E+01;160;;;;;
1,62E+01;161;;;;;
1,63E+01;162;;;;;
1,64E+01;163;;;;;
1,65E+01;164;;;;;
1,66E+01;165;;;;;
1,67E+01;166;;;;;
1,68E+01;167;;;;;
1,69E+01;168;;;;;
1,70E+01;169;;;;;
1,71E+01;170;;;;;
1,72E+01;171;;;;;
1,73E+01;172;;;;;
1,74E+01;173;;;;;
1,75E+01;174;;;;;
1,76E+01;175;;;;;
1,77E+01;176;;;;;
1,78E+01;177;;;;;
1,79E+01;178;;;;;
1,80E+01;179;;;;;
1,81E+01;180;;;;;
1,82E+01;181;;;;;
1,83E+01;182;;;;;
1,84E+01;183;;;;;
1,85E+01;184;;;;;
1,86E+01;185;;;;;
1,87E+01;186;;;;;
1,88E+01;187;;;;;
1,89E+01;188;;;;;
1,90E+01;189;;;;;
1,91E+01;190;;;;;
1,92E+01;191;;;;;
1,93E+01;192;;;;;
1,94E+01;193;;;;;
1,95E+01;194;;;;;
1,96E+01;195;;;;;
1,97E+01;196;;;;;
1,98E+01;197;;;;;
1,99E+01;198;;;;;
2,00E+01;199;;;;;
2,01E+01;200;;;;;
2,02E+01;201;;;;;
2,03E+01;202;;;;;
2,04E+01;203;;;;;
2,05E+01;204;;;;;
2,06E+01;205;;;;;
2,07E+01;206;;;;;
2,08E+01;207;;;;;
2,09E+01;208;;;;;
2,10E+01;209;;;;;
2,11E+01;210;;;;;
2,12E+01;211;;;;;
2,13E+01;212;;;;;
2,14E+01;213;;;;;
2,15E+01;214;;;;;
2,16E+01;215;;;;;
2,17E+01;216;;;;;
2,18E+01;217;;;;;
2,19E+01;218;;;;;
2,20E+01;219;;;;;
2,21E+01;220;;;;;
2,22E+01;221;;;;;
2,23E+01;222;;;;;
2,24E+01;223;;;;;
2,25E+01;224;;;;;
2,26E+01;225;;;;;
2,27E+01;226;;;;;
2,28E+01;227;;;;;
2,29E+01;228;;;;;
2,30E+01;229;;;;;
2,31E+01;230;;;;;
2,32E+01;231;;;;;
2,33E+01;232;;;;;
2,34E+01;233;;;;;
2,35E+01;234;;;;;
2,36E+01;235;;;;;
2,37E+01;236;;;;;
2,38E+01;237;;;;;
2,39E+01;238;;;;;
2,40E+01;239;;;;;
2,41E+01;240;;;;;
2,42E+01;241;;;;;
2,43E+01;242;;;;;
2,44E+01;243;;;;;
2,45E+01;244;;;;;
2,46E+01;245;;;;;
2,47E+01;246;;;;;
2,48E+01;247;;;;;
2,49E+01;248;;;;;
2,50E+01;249;;;;;
2,51E+01;250;;;;;
2,52E+01;251;;;;;
2,53E+01;252;;;;;
2,54E+01;253;;;;;
2,55E+01;254;;;;;
2,56E+01;255;;;;;
2,57E+01;256;;;;;
2,58E+01;257;;;;;
2,59E+01;258;;;;;
2,60E+01;259;;;;;1000000000
2,61E+01;260;;;;;
2,62E+01;261;;;;;
2,63E+01;262;;;;;
2,64E+01;263;;;;;
2,65E+01;264;;;;;
2,66E+01;265;;;;;
2,67E+00;266;;;;;
2,68E+01;267;;;;;
2,69E+01;268;;;;;
