"Time (s)";"Pressure (hPa)"
2.024112720E-1;9.876162109E2
3.024112720E-1;9.875754395E2
4.024112720E-1;9.875512695E2
5.024112720E-1;9.874956055E2
6.024112720E-1;9.874777832E2
7.024112720E-1;9.875424805E2
8.024112720E-1;9.875566406E2
9.024112720E-1;9.875407715E2
1.002411272E0;9.875024414E2
1.102411272E0;9.874934082E2
1.202411272E0;9.875175781E2
1.302411272E0;9.875637207E2
1.402411272E0;9.876181641E2
1.502411272E0;9.876455078E2
1.602411272E0;9.876530762E2
1.702411272E0;9.876931152E2
1.802411272E0;9.876965332E2
1.902411272E0;9.876899414E2
2.002411272E0;9.876945801E2
2.102411272E0;9.877048340E2
2.202411272E0;9.876853027E2
2.302411272E0;9.876958008E2
2.402411272E0;9.877001953E2
2.502411272E0;9.876728516E2
2.602411272E0;9.876953125E2
2.702411272E0;9.877175293E2
2.802411272E0;9.877253418E2
2.904382422E0;9.877343750E2
3.004382422E0;9.877478027E2
3.104382422E0;9.877622070E2
3.204382422E0;9.877604980E2
3.304382422E0;9.877751465E2
3.404382422E0;9.877829590E2
3.504382422E0;9.877692871E2
3.604382422E0;9.877683105E2
3.704382422E0;9.877683105E2
3.804382422E0;9.877753906E2
3.904382422E0;9.877758789E2
4.004382422E0;9.877746582E2
4.104382422E0;9.877924805E2
4.204382422E0;9.878000488E2
4.304382422E0;9.878100586E2
4.404382422E0;9.877988281E2
4.504382422E0;9.878059082E2
4.604382422E0;9.877875977E2
4.704382422E0;9.877553711E2
4.804382422E0;9.877529297E2
4.904382422E0;9.877512207E2
5.004382422E0;9.877338867E2
5.104382422E0;9.877277832E2
5.204382422E0;9.877426758E2
5.304382422E0;9.877282715E2
5.404382422E0;9.877160645E2
5.504382422E0;9.877136230E2
5.604382422E0;9.877502441E2
5.704382422E0;9.877551270E2
5.804382422E0;9.877453613E2
5.904382422E0;9.877336426E2
6.004382422E0;9.877158203E2
6.104382422E0;9.877009277E2
6.204382422E0;9.877231445E2
6.304382422E0;9.877482910E2
6.404382422E0;9.877587891E2
6.504382422E0;9.877744141E2
6.604382422E0;9.877880859E2
6.704382422E0;9.877844238E2
6.804382422E0;9.877883301E2
6.904382422E0;9.878071289E2
7.004382422E0;9.878073730E2
7.104382422E0;9.877863770E2
7.204382422E0;9.878029785E2
7.304382422E0;9.878083496E2
7.404382422E0;9.877902832E2
7.504382422E0;9.878054199E2
7.604382422E0;9.878059082E2
7.704382422E0;9.877863770E2
7.804382422E0;9.877912598E2
7.904382422E0;9.877905273E2
8.004382422E0;9.878071289E2
8.104382422E0;9.877824707E2
8.204382422E0;9.877993164E2
8.304382422E0;9.878073730E2
8.404382422E0;9.878120117E2
8.504382422E0;9.878081055E2
8.604382422E0;9.878029785E2
8.704233226E0;9.877641602E2
8.804233226E0;9.877602539E2
8.904233226E0;9.877673340E2
9.004233226E0;9.877673340E2
9.104233226E0;9.877399902E2
9.204233226E0;9.877412109E2
9.304233226E0;9.877583008E2
9.404233226E0;9.877492676E2
9.504233226E0;9.877702637E2
9.604233226E0;9.877846680E2
9.704233226E0;9.877841797E2
9.804233226E0;9.877490234E2
9.904233226E0;9.877590332E2
1.000423323E1;9.877626953E2
1.010423323E1;9.877680664E2
1.020423323E1;9.877802734E2
1.030423323E1;9.877890625E2
1.040423323E1;9.877700195E2
1.050423323E1;9.877614746E2
1.060423323E1;9.877783203E2
1.070423323E1;9.877783203E2
1.080423323E1;9.877648926E2
1.090423323E1;9.877656250E2
1.100423323E1;9.877509766E2
1.110423323E1;9.877695312E2
1.120423323E1;9.877736816E2
1.130423323E1;9.877880859E2
1.140423323E1;9.877839355E2
1.150423323E1;9.877778320E2
1.160423323E1;9.877592773E2
1.170423323E1;9.877734375E2
1.180423323E1;9.877595215E2
1.190423323E1;9.877490234E2
1.200423323E1;9.877429199E2
1.210423323E1;9.877316895E2
1.220423323E1;9.877109375E2
1.230423323E1;9.877124023E2
1.240423323E1;9.876833496E2
1.250423323E1;9.876743164E2
1.260423323E1;9.876750488E2
1.270423323E1;9.876682129E2
1.280423323E1;9.876599121E2
1.290423323E1;9.876496582E2
1.300423323E1;9.876350098E2
1.310423323E1;9.876394043E2
1.320423323E1;9.876115723E2
1.330423323E1;9.876030273E2
1.340423323E1;9.875739746E2
1.350423323E1;9.875712891E2
1.360423323E1;9.875783691E2
1.370423323E1;9.875720215E2
1.380423323E1;9.875695801E2
1.390423323E1;9.875559082E2
1.400423323E1;9.875371094E2
1.410423323E1;9.875366211E2
1.420423323E1;9.875124512E2
1.430423323E1;9.874960938E2
1.440423323E1;9.874960938E2
1.450423323E1;9.874765625E2
1.460423323E1;9.874812012E2
1.470423323E1;9.874560547E2
1.480423323E1;9.874279785E2
1.490423323E1;9.874272461E2
1.500423323E1;9.874016113E2
1.510423323E1;9.874147949E2
1.520423323E1;9.874101562E2
1.530423323E1;9.873854980E2
1.540423323E1;9.873762207E2
1.550423323E1;9.873762207E2
1.560423323E1;9.873503418E2
1.570423323E1;9.873352051E2
1.580423323E1;9.873312988E2
1.590423323E1;9.873127441E2
1.600423323E1;9.872883301E2
1.610423323E1;9.872770996E2
1.620423323E1;9.872722168E2
1.630423323E1;9.872521973E2
1.640423323E1;9.872514648E2
1.650423323E1;9.872382812E2
1.660423323E1;9.872163086E2
1.670423323E1;9.872194824E2
1.680423323E1;9.872263184E2
1.690423323E1;9.872092285E2
1.700423323E1;9.871894531E2
1.710423323E1;9.871713867E2
1.720423323E1;9.871564941E2
1.730423326E1;9.871623535E2
1.740423326E1;9.871420898E2
1.750423326E1;9.871354980E2
1.760423326E1;9.871101074E2
1.770423326E1;9.870874023E2
1.780423326E1;9.870771484E2
1.790423326E1;9.870578613E2
1.800423326E1;9.870439453E2
1.810423326E1;9.870192871E2
1.820423326E1;9.870224609E2
1.830423326E1;9.870180664E2
1.840423326E1;9.870244141E2
1.850423326E1;9.870185547E2
1.860423326E1;9.870173340E2
1.870423326E1;9.869755859E2
1.880423326E1;9.869643555E2
1.890423326E1;9.869462891E2
1.900423326E1;9.869282227E2
1.910423326E1;9.869316406E2
1.920281160E1;9.869238281E2
1.930281160E1;9.869096680E2
1.940281160E1;9.869047852E2
1.950281160E1;9.868830566E2
1.960281160E1;9.868854980E2
1.970277827E1;9.868698730E2
1.980274494E1;9.868581543E2
1.990271160E1;9.868408203E2
2.000267827E1;9.868571777E2
2.010264493E1;9.868293457E2
2.020261160E1;9.868051758E2
2.030257823E1;9.867905273E2
2.040254490E1;9.867939453E2
2.050251157E1;9.867521973E2
2.060247823E1;9.867309570E2
2.070244490E1;9.867043457E2
2.080241156E1;9.867065430E2
2.090237823E1;9.866862793E2
2.100234490E1;9.866723633E2
2.110231156E1;9.866752930E2
2.120227823E1;9.866601562E2
2.130224489E1;9.866435547E2
2.140221156E1;9.866528320E2
2.150217822E1;9.866445312E2
2.160214489E1;9.866513672E2
2.170211156E1;9.866181641E2
2.180207822E1;9.866013184E2
2.190204489E1;9.865942383E2
2.200201156E1;9.865681152E2
2.210197822E1;9.865666504E2
2.220194489E1;9.865512695E2
2.230191155E1;9.865332031E2
2.240187822E1;9.865129395E2
2.250184488E1;9.865302734E2
2.260181155E1;9.865195312E2
2.270181155E1;9.864995117E2
2.280181155E1;9.864836426E2
2.290181155E1;9.864704590E2
2.300181155E1;9.864492188E2
2.310181155E1;9.864506836E2
2.320181155E1;9.864318848E2
2.330181155E1;9.864213867E2
2.340181155E1;9.863925781E2
2.350181155E1;9.863796387E2
2.360181155E1;9.863725586E2
2.370181155E1;9.863666992E2
2.380181155E1;9.863640137E2
2.390181155E1;9.863383789E2
2.400181155E1;9.863217773E2
2.410181155E1;9.863156738E2
2.420181155E1;9.863085938E2
2.430181155E1;9.862917480E2
2.440181155E1;9.862756348E2
2.450181155E1;9.862822266E2
2.460181155E1;9.862597656E2
2.470181155E1;9.862609863E2
2.480181155E1;9.862370605E2
2.490181155E1;9.862524414E2
2.500181155E1;9.862355957E2
2.510181155E1;9.862194824E2
2.520181155E1;9.861987305E2
2.530181155E1;9.861962891E2
2.540181155E1;9.861901855E2
2.550181155E1;9.862021484E2
2.560181155E1;9.861733398E2
2.570181155E1;9.861589355E2
2.580181155E1;9.861103516E2
2.590181155E1;9.860605469E2
2.600181155E1;9.860571289E2
2.610181155E1;9.860422363E2
2.620181155E1;9.860581055E2
2.630181155E1;9.860539551E2
2.640181155E1;9.860356445E2
2.650181155E1;9.860490723E2
2.660181155E1;9.860253906E2
2.670181155E1;9.860107422E2
2.680181155E1;9.859956055E2
2.690181155E1;9.860056152E2
2.700181155E1;9.859804688E2
2.710181155E1;9.859770508E2
2.720181155E1;9.859655762E2
2.730181155E1;9.859619141E2
2.740181155E1;9.859636230E2
2.750181155E1;9.859643555E2
2.760181155E1;9.859660645E2
2.770181155E1;9.859675293E2
2.780181155E1;9.859494629E2
2.790181155E1;9.859414062E2
2.800181155E1;9.859328613E2
2.810181155E1;9.859465332E2
2.820181155E1;9.859541016E2
2.830181155E1;9.859567871E2
2.840181155E1;9.859611816E2
2.850181155E1;9.859619141E2
2.860181155E1;9.859333496E2
2.870181155E1;9.859440918E2
2.880181155E1;9.859707031E2
2.890181155E1;9.859536133E2
2.900181155E1;9.859204102E2
2.910181155E1;9.858886719E2
2.920181155E1;9.858703613E2
2.930181155E1;9.858874512E2
2.940177822E1;9.858771973E2
2.950177510E1;9.858723145E2
2.960174176E1;9.858708496E2
2.970170843E1;9.858735352E2
2.980167509E1;9.858725586E2
2.990164176E1;9.858586426E2
3.000160843E1;9.858752441E2
3.010157509E1;9.858811035E2
3.020154176E1;9.858886719E2
3.030150842E1;9.858957520E2
3.040147509E1;9.859291992E2
3.050144176E1;9.859421387E2
3.060140842E1;9.859274902E2
3.070137509E1;9.859282227E2
3.080134175E1;9.859282227E2
3.090130842E1;9.859184570E2
3.100127509E1;9.859223633E2
3.110124175E1;9.859177246E2
3.120120842E1;9.859106445E2
3.130117508E1;9.859194336E2
3.140114175E1;9.859138184E2
3.150110842E1;9.859111328E2
3.160107508E1;9.858933105E2
3.170104175E1;9.859111328E2
3.180100841E1;9.859172363E2
3.190097508E1;9.859033203E2
3.200094175E1;9.858864746E2
